,team,team_name,year,total,home,away,week,weekly_attendance
0,Arizona,Cardinals,2001,893926,387475,506451,1,
1,Arizona,Cardinals,2001,893926,387475,506451,2,50913.0
2,Arizona,Cardinals,2001,893926,387475,506451,3,28878.0
3,Arizona,Cardinals,2001,893926,387475,506451,4,66360.0
4,Arizona,Cardinals,2001,893926,387475,506451,5,66944.0
5,Arizona,Cardinals,2001,893926,387475,506451,6,35916.0
6,Arizona,Cardinals,2001,893926,387475,506451,7,63114.0
7,Arizona,Cardinals,2001,893926,387475,506451,8,33430.0
8,Arizona,Cardinals,2001,893926,387475,506451,9,36917.0
9,Arizona,Cardinals,2001,893926,387475,506451,10,32322.0
10,Arizona,Cardinals,2001,893926,387475,506451,11,49398.0
11,Arizona,Cardinals,2001,893926,387475,506451,12,46601.0
12,Arizona,Cardinals,2001,893926,387475,506451,13,40056.0
13,Arizona,Cardinals,2001,893926,387475,506451,14,77913.0
14,Arizona,Cardinals,2001,893926,387475,506451,15,48883.0
15,Arizona,Cardinals,2001,893926,387475,506451,16,72025.0
16,Arizona,Cardinals,2001,893926,387475,506451,17,61721.0
17,Atlanta,Falcons,2001,964579,422814,541765,1,65989.0
18,Atlanta,Falcons,2001,964579,422814,541765,2,47804.0
19,Atlanta,Falcons,2001,964579,422814,541765,3,28878.0
20,Atlanta,Falcons,2001,964579,422814,541765,4,46483.0
21,Atlanta,Falcons,2001,964579,422814,541765,5,46727.0
22,Atlanta,Falcons,2001,964579,422814,541765,6,70020.0
23,Atlanta,Falcons,2001,964579,422814,541765,7,
24,Atlanta,Falcons,2001,964579,422814,541765,8,44229.0
25,Atlanta,Falcons,2001,964579,422814,541765,9,69010.0
26,Atlanta,Falcons,2001,964579,422814,541765,10,59849.0
27,Atlanta,Falcons,2001,964579,422814,541765,11,72234.0
28,Atlanta,Falcons,2001,964579,422814,541765,12,59318.0
29,Atlanta,Falcons,2001,964579,422814,541765,13,68826.0
30,Atlanta,Falcons,2001,964579,422814,541765,14,55603.0
31,Atlanta,Falcons,2001,964579,422814,541765,15,43320.0
32,Atlanta,Falcons,2001,964579,422814,541765,16,73559.0
33,Atlanta,Falcons,2001,964579,422814,541765,17,66033.0
34,Baltimore,Ravens,2001,1062373,551695,510678,1,69365.0
35,Baltimore,Ravens,2001,1062373,551695,510678,2,51121.0
36,Baltimore,Ravens,2001,1062373,551695,510678,3,75082.0
37,Baltimore,Ravens,2001,1062373,551695,510678,4,69494.0
38,Baltimore,Ravens,2001,1062373,551695,510678,5,59866.0
39,Baltimore,Ravens,2001,1062373,551695,510678,6,72818.0
40,Baltimore,Ravens,2001,1062373,551695,510678,7,69439.0
41,Baltimore,Ravens,2001,1062373,551695,510678,8,62906.0
42,Baltimore,Ravens,2001,1062373,551695,510678,9,68798.0
43,Baltimore,Ravens,2001,1062373,551695,510678,10,69353.0
44,Baltimore,Ravens,2001,1062373,551695,510678,11,53530.0
45,Baltimore,Ravens,2001,1062373,551695,510678,12,69382.0
46,Baltimore,Ravens,2001,1062373,551695,510678,13,
47,Baltimore,Ravens,2001,1062373,551695,510678,14,69506.0
48,Baltimore,Ravens,2001,1062373,551695,510678,15,68987.0
49,Baltimore,Ravens,2001,1062373,551695,510678,16,65619.0
50,Baltimore,Ravens,2001,1062373,551695,510678,17,69465.0
51,Buffalo,Bills,2001,1098587,560695,537892,1,71447.0
52,Buffalo,Bills,2001,1098587,560695,537892,2,56135.0
53,Buffalo,Bills,2001,1098587,560695,537892,3,72874.0
54,Buffalo,Bills,2001,1098587,560695,537892,4,72654.0
