,year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city
0,2000,1,Minnesota Vikings,Chicago Bears,Minnesota Vikings,,Sun,September 3,1:00PM,30,27,374,1,425,1,Vikings,Minnesota,Bears,Chicago
1,2000,1,Kansas City Chiefs,Indianapolis Colts,Indianapolis Colts,,Sun,September 3,1:00PM,27,14,386,2,280,1,Chiefs,Kansas City,Colts,Indianapolis
2,2000,1,Washington Redskins,Carolina Panthers,Washington Redskins,,Sun,September 3,1:01PM,20,17,396,0,236,1,Redskins,Washington,Panthers,Carolina
3,2000,1,Atlanta Falcons,San Francisco 49ers,Atlanta Falcons,,Sun,September 3,1:02PM,36,28,359,1,339,1,Falcons,Atlanta,49ers,San Francisco
4,2000,1,Pittsburgh Steelers,Baltimore Ravens,Baltimore Ravens,,Sun,September 3,1:02PM,16,0,336,0,223,1,Steelers,Pittsburgh,Ravens,Baltimore
5,2000,1,Cleveland Browns,Jacksonville Jaguars,Jacksonville Jaguars,,Sun,September 3,1:02PM,27,7,398,0,249,1,Browns,Cleveland,Jaguars,Jacksonville
6,2000,1,New England Patriots,Tampa Bay Buccaneers,Tampa Bay Buccaneers,,Sun,September 3,1:02PM,21,16,296,1,278,1,Patriots,New England,Buccaneers,Tampa Bay
7,2000,1,New Orleans Saints,Detroit Lions,Detroit Lions,,Sun,September 3,1:03PM,14,10,187,2,252,3,Saints,New Orleans,Lions,Detroit
8,2000,1,New York Giants,Arizona Cardinals,New York Giants,,Sun,September 3,1:04PM,21,16,395,2,355,4,Giants,New York,Cardinals,Arizona
9,2000,1,Dallas Cowboys,Philadelphia Eagles,Philadelphia Eagles,,Sun,September 3,4:05PM,41,14,425,3,167,2,Cowboys,Dallas,Eagles,Philadelphia
10,2000,1,Oakland Raiders,San Diego Chargers,Oakland Raiders,,Sun,September 3,4:15PM,9,6,233,0,255,4,Raiders,Oakland,Chargers,San Diego
11,2000,1,Miami Dolphins,Seattle Seahawks,Miami Dolphins,,Sun,September 3,4:16PM,23,0,308,1,143,6,Dolphins,Miami,Seahawks,Seattle
12,2000,1,Green Bay Packers,New York Jets,New York Jets,,Sun,September 3,4:20PM,20,16,379,1,211,2,Packers,Green Bay,Jets,New York
13,2000,1,Buffalo Bills,Tennessee Titans,Buffalo Bills,,Sun,September 3,8:35PM,16,13,266,0,172,1,Bills,Buffalo,Titans,Tennessee
14,2000,1,St. Louis Rams,Denver Broncos,St. Louis Rams,,Mon,September 4,9:07PM,41,36,513,3,424,0,Rams,St. Louis,Broncos,Denver
15,2000,2,Minnesota Vikings,Miami Dolphins,Minnesota Vikings,,Sun,September 10,12:00PM,13,7,468,4,209,1,Vikings,Minnesota,Dolphins,Miami
16,2000,2,Cincinnati Bengals,Cleveland Browns,Cleveland Browns,,Sun,September 10,1:00PM,24,7,354,1,318,3,Bengals,Cincinnati,Browns,Cleveland
